temp,humidity,windspeed,count
4.76,71.39,3.27,9
2.9,71.11,4.56,9
5.3,60.34,3.53,18
7.98,72.02,6.35,7
2.76,80.47,11.62,3
2.82,64.37,2.97,9
8.32,82.9,11.07,5
5.96,78.36,10.59,6
2.31,68.52,10.4,8
5.42,73.21,6.02,7
2.48,87.06,3.16,7
2.55,80.08,18.28,3
4.76,74.21,14.4,5
0.0,72.17,6.13,7
0.0,74.61,7.01,9
2.61,69.83,4.75,9
1.35,57.0,1.02,14
5.43,90.1,5.47,11
1.87,74.92,8.42,2
0.46,76.77,3.71,8
9.2,73.03,4.56,10
4.24,67.53,4.53,13
5.23,71.82,6.41,8
0.87,60.42,4.91,14
3.63,91.33,2.83,11
5.72,63.14,6.39,7
2.06,64.65,8.12,4
6.76,69.28,6.83,10
3.97,83.0,0.93,3
5.03,72.7,9.21,7
4.23,62.58,2.13,11
11.73,82.39,8.02,11
6.28,78.08,8.27,11
3.29,76.42,1.45,15
9.07,77.72,10.82,5
3.09,91.03,18.16,2
7.53,89.23,4.67,11
1.18,66.12,8.02,8
3.23,84.48,4.06,11
7.97,74.42,2.1,17
9.75,75.21,11.53,8
8.21,57.55,8.16,8
7.52,69.58,3.34,10
7.13,64.31,2.19,13
3.76,77.29,18.81,2
6.21,79.09,1.7,14
7.16,53.78,8.98,10
11.89,70.06,6.66,6
9.93,79.06,10.05,9
3.79,68.44,15.63,10
10.23,75.62,0.28,8
8.28,72.44,2.43,12
7.59,72.22,5.33,10
11.64,67.16,16.45,5
13.09,59.44,4.21,21
12.98,60.04,3.58,20
7.85,74.53,0.56,10
9.64,68.85,3.29,13
11.75,67.43,8.76,15
13.88,64.98,5.36,18
9.71,65.77,3.22,12
10.78,76.42,18.96,11
8.22,65.2,4.65,15
8.15,56.99,6.41,15
14.37,73.5,3.05,22
16.2,65.75,2.09,21
12.12,67.47,9.6,12
15.55,79.91,1.17,19
13.83,66.72,8.24,12
11.01,69.03,7.43,14
14.23,57.11,2.29,36
17.97,64.62,2.76,28
13.45,71.08,4.68,16
18.46,53.59,1.93,33
6.11,67.47,0.85,9
16.64,66.49,5.06,13
14.64,65.85,9.94,14
13.69,73.64,6.92,14
15.07,67.85,12.48,18
9.04,76.82,4.23,14
14.55,56.88,5.99,19
16.48,65.74,2.76,20
20.05,65.16,6.19,30
14.27,55.76,12.02,11
13.61,71.79,8.41,15
14.73,82.57,13.2,12
19.19,63.66,7.21,25
17.63,67.67,5.38,25
15.26,64.13,15.74,12
18.6,57.58,6.38,29
17.55,48.55,18.04,23
20.37,57.3,10.99,34
15.56,51.65,3.33,24
16.88,76.25,4.97,20
16.89,61.53,15.65,14
13.87,59.51,12.49,13
19.35,69.23,9.84,25
19.44,52.98,9.1,33
18.87,55.65,1.76,43
18.35,62.17,2.18,35
15.0,69.69,6.95,22
18.17,65.32,2.81,31
18.6,63.13,4.71,28
17.41,61.61,4.45,28
19.52,64.03,8.78,24
21.41,62.29,7.15,30
26.04,52.28,11.84,44
21.09,60.73,7.25,32
21.52,51.62,6.86,38
20.7,60.71,5.83,44
15.35,56.07,13.08,29
21.2,80.08,5.88,26
21.64,59.3,3.24,40
29.02,48.24,9.41,71
21.22,58.26,5.34,37
22.87,63.35,10.89,27
22.03,72.44,14.03,16
18.8,54.2,4.98,37
25.89,46.12,13.7,45
24.88,65.18,11.09,32
25.16,47.47,3.74,66
20.21,54.89,2.86,33
27.3,56.19,2.65,57
19.04,57.57,2.13,32
25.15,63.52,12.81,27
30.11,52.41,5.04,70
20.71,55.57,3.37,40
22.13,57.53,3.93,46
24.26,58.73,8.49,43
22.59,58.2,16.66,27
19.58,60.79,3.79,36
24.57,63.95,10.24,31
21.3,60.23,5.86,34
26.04,60.62,8.56,41
21.98,44.23,3.0,47
29.51,57.19,9.51,61
22.62,60.52,4.73,44
24.12,62.43,4.08,48
27.64,50.96,5.69,63
21.61,51.14,8.93,38
26.09,51.73,5.15,58
29.43,60.53,4.11,62
20.79,64.43,5.29,30
26.26,52.82,5.19,67
26.58,63.27,8.43,45
28.23,56.92,4.33,63
22.26,54.86,4.24,40
22.09,54.1,3.03,46
27.7,61.7,8.81,51
27.1,58.27,6.48,51
27.03,73.81,13.03,39
27.39,48.73,11.92,54
24.37,59.63,6.95,45
27.17,51.2,5.42,63
27.41,48.43,5.88,58
24.45,55.26,3.56,61
32.24,56.4,3.05,101
28.11,78.6,2.69,49
23.16,53.75,5.08,42
28.75,46.15,0.35,100
23.89,57.34,16.23,29
29.21,38.53,2.44,82
30.35,54.37,19.19,44
24.44,55.21,2.47,48
29.82,61.41,5.9,67
28.19,62.83,7.76,39
29.43,51.0,6.29,52
32.67,53.81,3.78,94
26.25,48.88,3.63,69
24.74,45.98,10.32,37
24.33,57.48,13.29,38
24.55,44.81,1.08,60
26.76,51.69,7.05,60
28.01,47.05,8.98,50
27.81,59.42,6.7,44
29.44,69.44,1.68,65
26.98,44.64,8.49,48
31.28,40.24,12.09,82
26.1,54.09,2.99,47
35.02,55.24,3.74,122
28.71,56.89,6.78,59
24.22,51.6,5.54,52
23.54,53.6,3.76,40
28.16,58.18,2.08,72
26.0,63.6,4.02,52
28.76,39.68,0.66,106
27.98,52.41,9.09,51
26.29,57.12,3.29,59
23.9,48.12,10.12,43
21.84,69.37,4.91,29
24.97,50.49,6.49,46
28.81,55.3,1.3,82
26.81,60.14,9.57,37
22.35,51.03,26.89,13
26.53,41.05,4.35,72
27.08,52.46,6.4,54
23.19,64.2,7.01,30
26.21,53.35,1.83,64
25.83,49.35,2.34,67
22.13,63.61,8.62,22
26.53,53.64,2.99,61
27.04,52.29,4.88,59
28.5,57.65,6.51,52
28.3,62.71,8.84,46
20.9,75.69,5.09,24
22.1,63.35,5.2,43
26.34,66.11,24.19,29
26.22,52.89,11.26,31
26.1,48.83,4.45,61
35.99,57.64,5.24,106
26.01,58.11,18.44,33
27.57,48.73,8.86,53
26.89,56.07,12.27,47
25.85,60.78,4.36,51
22.81,60.59,3.96,52
25.89,61.86,15.56,19
21.15,60.27,5.55,25
22.61,54.01,5.49,43
21.71,54.08,4.13,36
23.26,48.73,11.94,34
29.81,72.73,6.75,62
17.1,58.69,2.21,34
24.6,56.91,3.76,35
17.55,51.42,13.68,29
20.8,82.47,6.87,15
25.32,50.54,12.03,45
22.08,55.83,7.82,32
18.48,62.73,2.5,31
19.4,64.35,8.44,18
23.41,67.36,5.65,37
19.0,74.3,3.85,31
21.66,64.04,4.12,31
20.97,51.69,11.82,34
18.7,58.23,7.04,42
26.9,62.9,6.68,49
22.19,77.14,16.61,11
14.02,49.57,3.33,16
20.47,70.53,5.45,26
17.74,62.5,3.58,29
22.09,67.93,8.32,29
16.96,60.57,6.77,36
18.8,54.8,4.43,45
20.47,67.71,4.87,31
21.35,67.1,11.03,16
14.96,69.81,13.0,17
17.36,62.09,3.74,29
16.74,57.56,27.64,10
16.0,50.06,1.78,40
23.06,69.25,2.41,34
18.78,66.26,4.7,40
13.58,55.31,3.18,29
19.91,58.89,2.86,34
23.32,59.64,12.79,34
19.85,51.68,8.54,33
11.99,57.17,6.26,24
14.89,54.81,3.86,28
19.94,60.75,2.5,37
13.81,58.32,2.4,22
17.05,51.38,12.75,22
17.84,80.75,12.4,15
12.53,74.76,4.79,17
14.92,58.68,1.64,29
5.17,67.27,9.06,7
11.62,68.6,4.81,14
13.73,74.96,11.35,13
10.53,59.05,2.36,17
18.97,74.51,6.23,24
9.58,61.56,2.17,25
12.34,55.43,3.26,19
13.85,72.08,3.19,19
17.57,76.78,4.73,23
8.74,87.33,13.48,6
16.33,57.2,6.47,27
12.67,72.56,10.1,18
9.49,63.86,6.18,10
13.62,73.57,4.24,27
12.63,55.71,0.79,25
10.04,57.53,2.48,28
11.85,61.6,5.83,25
10.28,68.6,6.61,16
11.58,63.0,11.38,16
13.03,73.57,1.24,13
15.61,76.67,21.58,7
6.95,73.41,0.78,12
16.87,81.73,5.56,23
4.42,72.26,3.64,16
9.63,59.36,2.52,18
11.66,80.16,15.93,5
10.56,64.56,3.76,19
7.66,76.84,1.14,11
8.72,82.3,1.89,9
7.69,73.52,12.33,8
7.22,58.04,1.98,20
11.36,62.81,1.53,20
9.7,80.89,6.71,8
6.38,69.1,4.71,11
10.98,71.23,8.1,14
9.04,76.81,4.25,11
10.39,76.45,9.68,21
9.67,73.25,1.71,14
5.13,69.48,1.41,9
5.77,68.79,7.16,11
9.54,78.28,4.71,13
8.97,75.98,4.07,10
6.92,69.62,9.06,7
7.18,80.46,23.62,7
10.51,70.9,13.81,10
4.76,65.24,9.33,4
8.03,66.11,3.92,16
5.64,64.47,16.73,4
5.45,70.23,1.9,13
9.26,82.4,7.9,11
8.31,66.2,5.03,18
8.14,74.26,3.92,8
9.49,67.6,2.17,23
5.51,70.88,29.85,2
7.37,60.98,3.9,8
4.27,71.4,0.46,5
6.06,71.71,10.42,6
4.58,77.68,7.41,8
5.15,75.24,4.66,11
6.53,63.96,4.31,14
2.19,82.31,5.47,4
10.82,75.4,10.48,8
1.42,75.39,7.49,13
0.7,73.81,8.4,7
7.72,69.82,8.39,8
6.53,75.78,10.81,10
5.95,77.91,13.02,9
5.87,60.2,3.31,12
3.87,69.93,6.7,8
1.14,72.27,12.61,4
3.98,76.42,3.29,4
1.66,83.97,14.58,2
6.55,68.31,3.27,12
3.11,70.55,7.69,7
1.02,70.49,4.73,6
2.47,68.22,4.13,9
4.62,71.9,8.1,11
1.64,80.89,13.1,5
0.82,66.33,4.64,3
3.98,78.22,13.9,3
3.94,61.21,3.17,18
1.65,70.37,13.23,6
1.72,72.25,6.32,9
3.8,88.31,7.35,4
0.0,72.73,2.11,9
0.0,57.34,3.99,7
0.88,58.98,5.71,8
2.38,75.25,12.12,8
3.95,79.9,4.94,9
7.43,78.0,2.95,15
5.57,76.34,6.92,8
2.52,84.3,19.96,4
2.95,70.68,7.48,4
0.0,82.15,4.9,4
2.96,61.93,6.96,8
2.17,67.73,2.77,10
4.02,60.5,15.18,11
0.59,72.74,15.01,1
4.65,74.55,2.67,9
7.72,75.81,14.76,8
2.83,75.37,7.01,6
4.39,67.42,9.46,11
5.29,73.29,5.8,10
2.06,62.8,6.14,8
3.98,85.65,3.52,8
3.4,72.27,2.71,6
3.7,70.75,2.59,12
1.15,87.32,12.37,5
3.6,64.62,6.67,6
5.08,65.51,2.82,17
8.01,65.69,6.27,12
6.6,73.86,1.21,15
10.25,77.79,2.77,10
1.57,80.19,13.2,4
6.57,94.79,3.83,8
4.58,56.15,12.12,8
10.69,78.94,5.44,24
1.78,69.54,9.51,8
1.78,69.23,2.19,10
2.59,68.88,8.52,7
0.0,66.49,0.57,6
3.01,87.15,4.13,9
2.42,80.33,13.68,6
5.25,73.68,5.98,14
5.94,84.21,2.65,6
10.65,61.21,12.91,14
7.99,62.57,21.57,7
3.53,55.69,4.79,10
2.69,67.42,1.31,13
6.98,74.2,6.04,12
1.68,73.63,9.91,7
11.26,73.89,5.0,26
9.44,61.29,0.68,15
4.63,78.89,9.22,9
1.04,74.27,3.18,6
10.38,78.1,4.08,22
6.12,56.97,1.38,19
10.32,74.49,0.4,12
1.97,62.37,2.12,9
5.11,68.57,3.79,12
7.08,75.89,3.72,13
7.36,72.22,15.65,5
6.02,64.54,2.38,10
9.4,71.27,11.42,13
4.5,58.83,6.51,16
7.44,80.15,17.18,3
8.39,69.17,5.51,11
9.74,79.62,0.78,18
10.51,66.31,5.14,12
5.17,66.19,0.43,8
4.12,64.12,2.08,16
12.73,77.1,5.2,16
10.07,64.26,5.3,22
7.01,74.94,11.15,7
14.09,66.58,8.02,16
9.97,53.67,16.07,13
13.34,64.77,11.15,15
10.2,59.74,10.21,15
16.36,69.29,20.41,8
15.64,59.33,10.77,26
9.82,76.11,14.3,8
13.67,67.81,1.22,20
12.89,66.95,4.55,17
15.25,73.46,7.78,16
8.45,75.76,6.18,10
13.6,67.72,3.08,17
14.91,61.55,10.3,18
6.66,53.36,12.03,10
8.59,61.9,5.48,23
6.22,62.28,4.74,10
11.73,67.91,3.86,22
14.89,64.12,10.6,16
17.45,72.22,4.66,15
13.37,61.64,6.03,29
18.24,65.92,13.29,10
9.42,75.67,7.24,11
8.65,68.77,6.03,12
13.8,65.38,3.6,20
15.33,60.87,5.78,17
14.28,60.45,3.17,26
8.38,58.54,6.92,14
14.53,60.84,3.99,23
11.09,71.05,4.43,17
17.22,63.05,5.81,19
16.51,53.86,17.43,14
12.8,78.63,7.68,12
14.28,66.87,2.11,24
12.85,52.88,4.66,23
16.05,60.43,3.68,26
19.31,64.69,3.54,26
13.69,77.26,3.65,15
18.36,54.59,4.77,29
15.46,71.1,3.24,18
14.88,74.31,3.25,18
17.14,57.92,3.69,30
14.56,60.56,3.54,20
16.2,54.32,2.83,31
14.47,60.82,8.94,16
24.16,61.99,4.27,32
18.57,67.39,4.95,26
16.56,70.67,4.65,28
19.5,55.8,3.42,50
18.71,45.89,2.73,43
18.58,61.29,9.56,17
21.28,63.65,2.88,42
21.9,63.14,3.0,37
18.23,58.37,11.58,26
18.28,61.83,3.74,36
19.37,72.8,5.78,22
13.47,63.57,4.47,20
16.02,57.38,5.61,24
24.85,56.21,15.33,29
25.86,58.7,3.17,55
20.36,73.01,8.96,24
23.01,58.3,9.53,37
22.39,59.46,9.04,32
30.87,55.62,14.88,38
25.16,68.12,0.71,40
21.59,74.87,1.63,28
19.27,62.66,2.68,36
17.48,59.58,3.92,30
23.07,59.07,7.0,31
20.36,39.57,2.81,44
18.52,64.47,2.79,32
21.0,59.46,6.22,31
19.85,61.68,8.24,34
28.31,52.44,5.7,53
26.04,54.93,8.54,50
23.52,54.6,1.32,58
28.12,65.94,3.24,56
24.06,54.62,2.57,58
21.38,74.19,3.74,27
28.67,60.86,5.47,53
25.85,47.1,1.02,66
21.25,56.17,3.71,35
23.92,51.88,3.22,45
21.99,39.43,1.45,66
20.59,69.68,8.69,26
27.64,62.41,5.67,57
30.7,60.95,3.76,68
20.89,57.92,16.69,31
26.89,45.45,1.59,75
23.35,52.54,17.31,20
23.95,63.06,4.74,35
23.73,47.83,3.0,54
23.02,35.91,3.84,66
25.85,54.26,4.18,57
23.3,54.87,18.83,28
26.7,57.01,7.03,56
25.82,61.69,2.21,59
25.33,60.89,9.52,41
23.41,57.79,4.21,52
24.48,65.23,0.26,54
28.54,43.45,9.35,77
27.85,59.58,9.53,40
23.48,60.5,4.4,45
26.77,45.52,3.38,85
28.79,43.37,10.2,57
21.58,49.38,3.23,52
28.27,50.01,11.81,55
24.7,61.29,3.3,51
28.45,50.31,5.18,60
24.49,48.34,7.56,55
21.4,50.26,6.46,36
21.97,64.08,3.06,45
27.02,55.21,7.25,50
27.69,53.64,9.2,53
24.22,54.18,2.32,60
28.87,65.38,7.71,54
21.98,49.03,5.05,41
26.78,65.54,2.46,65
23.36,56.69,7.03,43
25.04,53.72,9.94,49
27.14,75.01,3.56,42
24.42,46.56,7.29,40
25.84,52.18,4.18,66
30.01,45.15,8.61,65
25.24,62.64,11.22,37
29.47,68.55,6.76,49
23.55,68.41,9.14,32
28.51,64.86,10.28,40
31.22,53.51,3.54,74
19.45,52.19,4.12,26
24.44,41.77,7.43,50
28.53,71.46,12.95,36
26.15,58.96,1.96,64
27.83,51.3,8.02,73
24.85,65.9,12.23,31
26.88,47.54,4.93,59
26.09,58.62,5.58,47
30.01,54.03,5.49,65
27.21,60.57,5.25,60
27.39,55.01,2.98,69
25.08,43.96,5.08,61
24.78,56.24,3.07,54
24.87,64.08,8.72,41
27.27,55.52,1.14,67
24.75,62.03,10.01,28
26.8,47.53,11.07,45
32.07,55.76,6.41,65
28.36,51.05,16.44,45
24.68,62.1,7.64,43
29.16,56.45,7.01,53
24.24,61.8,1.08,47
19.24,65.07,11.55,28
22.23,61.99,2.7,38
19.53,58.73,2.42,31
23.98,48.66,6.61,49
24.97,56.71,3.08,49
29.83,52.57,4.88,74
25.66,54.18,12.16,48
23.9,54.04,15.19,33
26.92,49.3,3.56,65
17.67,41.59,5.03,46
24.87,52.02,22.17,22
26.34,59.02,15.1,46
19.46,46.8,10.42,33
27.19,57.83,3.07,59
24.63,73.03,3.61,53
22.22,66.13,10.35,21
25.22,71.22,0.91,45
29.98,61.32,11.67,48
23.56,67.66,13.67,31
23.61,52.66,4.48,45
21.33,53.42,15.35,33
20.0,36.8,7.88,38
24.87,68.34,2.11,34
19.65,71.31,6.17,25
22.27,54.7,3.35,38
20.45,57.23,6.76,28
23.15,53.37,1.97,52
22.54,62.61,16.12,20
24.48,68.69,8.63,33
19.66,45.9,4.1,59
20.21,63.26,6.89,28
17.9,57.92,5.64,31
19.32,61.2,16.5,17
21.6,64.11,5.56,36
22.56,59.09,6.6,37
17.33,59.92,1.7,31
22.52,59.2,6.72,38
23.79,68.83,7.67,36
20.77,64.57,2.4,38
24.97,63.15,9.47,39
16.83,51.38,0.8,34
15.22,58.68,5.0,23
13.42,69.06,1.63,18
23.05,62.33,5.98,33
20.33,67.47,4.27,37
18.0,76.5,8.06,14
18.8,70.84,5.5,24
14.39,63.44,7.91,16
24.9,58.78,6.08,55
17.75,42.6,12.06,33
17.49,61.86,10.92,23
19.13,60.76,3.2,42
18.19,66.66,11.45,18
17.22,62.48,7.63,26
13.97,61.32,12.82,15
17.55,49.82,2.48,47
21.57,56.71,1.96,49
19.76,68.21,1.99,23
